premio_effet_anno_incorso,eta_polizza,bonus_malus
239.73,11,1F
242.15,12,1G
251.51,13,1H
382.39,6,1F
394.2,7,1G
412.9,6,1H
425.9874,6,02
412.1648,7,01
427.18935999999997,6,1A
388.29,6,04
375.59,7,03
393.07,8,02
460.95,7,1E
526.8,8,1D
526.0,6,1E
504.0202,5,01
516.2257,6,1A
537.6628,6,1B
393.1613,6,03
377.7319,7,02
391.98727,8,01
328.71,9,1E
322.13,10,1F
322.13,11,1F
504.8957,8,1C
517.884,9,1D
517.3915,7,1E
353.64,5,1F
367.87,6,1G
383.32,7,1H
314.7371,9,1C
322.8638,10,1D
336.3801,11,1E
338.72,8,1F
352.03,9,1G
368.7,7,1H
362.8,7,1F
407.73,8,1G
424.83,8,1H
841.8087,7,07
862.9443,8,06
897.8334,9,05
349.0052,10,1E
353.8874,11,1F
369.78143,6,1G
300.04,10,1F
316.65,11,1G
328.84,12,1H
335.78,8,1F
349.6026,9,1G
365.53168,6,1H
304.0251,4,1D
309.7313,5,1E
320.79073999999997,6,1F
347.9443,5,01
328.4155,6,1A
343.53165,7,1B
571.12,7,1D
563.82,8,1E
585.39,6,1F
217.8656,10,1F
239.8149,11,1E
239.58208,7,1E
345.96,13,1A
344.65,14,1B
360.93,15,1C
425.98,6,1F
437.35,7,1G
457.27,6,1H
506.94,8,1A
519.55,9,1B
539.48,6,1C
286.97,9,1F
321.52,10,1G
336.97,11,1H
356.483,8,01
368.6885,9,1A
375.62616,6,1B
453.96,6,1F
465.34,7,1G
485.26,8,1H
440.6272,6,04
451.9944,7,03
470.55142,8,02
212.58,6,1F
217.87,7,1G
229.25,8,1H
315.03,7,1F
322.75,7,1G
339.41,8,1H
369.8833,11,1E
378.8237,7,1F
396.33994,8,1G
345.11,25,1B
353.64,26,1C
353.64,27,1C
669.0880000000001,5,09
639.0017,6,08
669.2307,7,07
308.1142,15,1B
309.7313,16,1C
324.05267000000003,17,1D
429.2525,13,01
439.81,14,1A
462.1239,7,1B
344.7,11,03
353.23,12,02
371.52,7,01
213.4,15,1F
221.93,16,1G
233.32,7,1H
287.42,29,1F
302.87,30,1G
318.72,31,1H
372.3244,12,1F
386.971,13,1G
406.88718,7,1H
323.08,13,1F
336.08,14,1G
353.57,7,1H
316.65,7,1F
329.25,8,1G
346.32,7,1H
274.37,8,1F
285.35,9,1G
300.39,7,1H
431.1065,11,1E
428.6757,12,1F
448.5411,13,1G
261.41,11,1D
270.75,12,1E
283.76,6,1F
228.44,6,1F
233.32,7,1G
244.7,6,1H
218.13,6,1F
237.64,7,1G
249.03,6,1H
333.30800000000005,16,1B
346.3066,17,1C
363.83383,6,1D
254.86,4,1D
297.95,5,1E
311.77,6,1F
291.03,4,1C
286.97,5,1D
300.39,6,1E
199.9951,15,1F
208.9252,16,1G
218.47727999999998,17,1H
236.2,17,1D
239.86,18,1E
251.24,6,1F
523.56,6,08
494.29,7,07
517.87,6,06
369.3065,19,1C
364.4449,20,1D
381.9751,21,1E
484.13,21,1B
